"xTime","mon","M","px1","px2","px3","px4","px5","px6","p1","p2","p3","p4","p5","p6","TDmy1","TDmy2","TDmy3","BSEDmy","BflDmy","GyzDmy","McDDmy","tBSE","tBfl","tGyz","tMcD","weight","members","workers","age"
2010.5,2010.07,6133,1504,1909,903,158,157,1502,75.7,79.9,90.7,105.2,80.4,105.2,1,1,0,1,1,1,0,107,78,30,0,7775,3.09,1.35,56.5
2010.58333333333,2010.08,6235,1606,1953,877,156,182,1461,75.9,79.9,90.1,104.6,80.2,104.6,1,1,0,1,1,1,0,108,79,31,0,7810,3.09,1.35,56.5
2010.66666666667,2010.09,6038,1442,1973,986,160,165,1312,75.4,79.5,89.7,104.9,80,104.9,1,1,0,1,1,1,0,109,80,32,0,7833,3.09,1.34,56.4
2010.75,2010.1,6426,1534,2108,1096,159,223,1306,75.6,79.6,89.5,104.5,79.9,104.5,1,1,0,1,1,1,0,110,81,33,0,7842,3.09,1.36,56.4
2010.83333333333,2010.11,6464,1510,2080,1071,157,202,1444,75.8,79.6,89.6,104.3,80,104.3,1,1,0,1,1,1,0,111,82,34,0,7834,3.08,1.35,56.4
2010.91666666667,2010.12,8660,2526,2210,1355,144,282,2143,76.3,79.3,90.3,103.7,80.3,103.7,1,1,0,1,1,1,0,112,83,35,0,7857,3.08,1.34,56.3
2011,2011.01,6183,1550,2072,1042,156,212,1150,76.8,79.6,91.1,104.2,80.6,104.2,1,1,0,1,1,1,0,113,84,36,0,7790,3.08,1.33,56.2
2011.08333333333,2011.02,5777,1385,1980,932,160,182,1139,76,79.6,91.5,104.1,80.3,104.1,1,1,0,1,1,1,0,114,85,37,0,7808,3.09,1.33,56.5
2011.16666666667,2011.03,6237,1449,2097,1018,170,182,1320,76.4,79.3,91.2,104.3,80.4,104.3,1,1,0,1,1,1,0,115,86,38,0,7474,3.09,1.33,56.6
2011.25,2011.04,6186,1529,2025,970,170,155,1337,77.1,79.6,91.5,104.5,80.8,104.5,1,1,0,1,1,1,0,116,87,39,0,7475,3.09,1.32,56.6
2011.33333333333,2011.05,6397,1572,2004,1039,186,155,1442,76.2,79.6,91.3,104,80.5,104,1,1,0,1,1,1,0,117,88,40,0,7552,3.09,1.33,56.7
2011.41666666667,2011.06,6150,1478,1963,993,173,136,1407,76.1,80,90.8,103.9,80.5,103.9,1,1,0,1,1,1,0,118,89,41,0,7597,3.09,1.34,56.7
2011.5,2011.07,6179,1370,1992,980,154,129,1554,76,80,91,103,80.4,103,1,1,0,1,1,1,0,119,90,42,0,7656,3.08,1.34,57
2011.58333333333,2011.08,6339,1486,2073,970,164,167,1480,75.6,80.1,90.7,103,80.2,103,1,1,0,1,1,1,0,120,91,43,0,7699,3.08,1.34,57.1
2011.66666666667,2011.09,6054,1341,2000,1062,170,158,1323,76.2,80.1,90.7,103.4,80.4,103.4,1,1,0,1,1,1,0,121,92,44,0,7725,3.08,1.33,57
2011.75,2011.1,6445,1452,2136,1154,168,185,1350,76.3,79.3,90.9,103.1,80.4,103.1,1,1,0,1,1,1,0,122,93,45,0,7757,3.08,1.32,56.9
2011.83333333333,2011.11,6613,1431,2151,1147,161,185,1538,76.2,79,90.4,103,80.1,103,1,1,0,1,1,1,0,123,94,46,0,7781,3.07,1.32,57
2011.91666666667,2011.12,8809,2554,2247,1495,150,253,2110,75.6,79.8,90.8,102.8,80.3,102.8,1,1,0,1,1,1,0,124,95,47,0,7796,3.07,1.32,56.9
2012,2012.01,6171,1463,2044,1137,157,189,1182,76.3,79.6,90.6,103,80.5,103,1,1,0,1,1,1,0,125,96,48,0,7754,3.07,1.32,57
2012.08333333333,2012.02,5938,1373,1989,1092,146,165,1173,76,79.9,90.6,102.8,80.5,102.8,1,1,0,1,1,1,0,126,97,49,0,7774,3.07,1.32,57.2
2012.16666666667,2012.03,6210,1468,1998,1102,172,167,1303,76.2,79.6,91,102.8,80.4,102.8,1,1,0,1,1,1,0,127,98,50,0,7784,3.08,1.32,57.2
2012.25,2012.04,6036,1417,1932,1067,161,142,1316,75.6,79.3,89.7,102.8,79.9,102.8,1,1,0,1,1,1,0,128,99,51,0,7757,3.07,1.33,57.3
2012.33333333333,2012.05,6230,1498,1931,1047,169,157,1427,75.1,78.9,89.4,102.4,79.5,102.4,1,1,0,1,1,1,0,129,100,52,0,7798,3.07,1.34,57.3
2012.41666666667,2012.06,5975,1394,1895,987,169,133,1396,75.6,79.3,89,102.5,79.6,102.5,1,1,0,1,1,1,0,130,101,53,0,7801,3.07,1.33,57.5
2012.5,2012.07,5953,1365,1860,924,158,144,1502,75.2,79.5,88.6,101.8,79.7,101.8,1,1,0,1,1,1,0,131,102,54,0,7804,3.07,1.33,57.6
2012.58333333333,2012.08,6129,1558,1888,916,156,168,1444,76.3,79.2,88.2,101.2,80,101.2,1,1,0,1,1,1,0,132,103,55,0,7812,3.06,1.32,57.7
2012.66666666667,2012.09,5838,1337,1901,978,159,146,1317,76.1,79.3,88.4,101.8,80.1,101.8,1,1,0,1,1,1,0,133,104,56,0,7782,3.06,1.33,57.8
2012.75,2012.1,6214,1413,2046,1061,173,187,1334,75.3,79,88,101,79.4,101,1,1,0,1,1,1,0,134,105,57,0,7802,3.06,1.33,57.8
2012.83333333333,2012.11,6377,1406,2062,1070,157,191,1491,75.3,79.1,87.9,101.2,79.4,101.2,1,1,0,1,1,1,0,135,106,58,0,7784,3.06,1.33,57.8
2012.91666666667,2012.12,8643,2517,2225,1388,143,271,2099,75.5,79.4,87.2,100.7,79.3,100.7,1,1,0,1,1,1,0,136,107,59,0,7798,3.06,1.33,57.7
2013,2013.01,6193,1581,2015,1077,153,187,1180,75.7,79.6,87.7,100.2,79.6,100.2,1,1,0,1,1,1,0,137,108,60,0,7722,3.06,1.33,57.6
2013.08333333333,2013.02,5855,1378,1959,1028,147,182,1161,76,79.1,88,100.7,79.6,100.7,1,1,0,1,1,1,0,138,109,61,0,7764,3.06,1.32,57.8
2013.16666666667,2013.03,6474,1616,2113,1082,165,171,1326,75.2,79,87.4,100.6,79.3,100.6,1,1,0,1,1,1,0,139,110,62,0,7770,3.06,1.33,57.9
2013.25,2013.04,6417,1563,2084,1077,168,163,1364,75.5,79.2,87.3,100.7,79.4,100.7,1,1,0,1,1,1,0,140,111,63,0,7801,3.06,1.34,57.8
2013.33333333333,2013.05,6467,1604,2020,1074,168,162,1439,75.9,79.4,87.9,100.7,79.7,100.7,1,1,0,1,1,1,0,141,112,64,0,7788,3.05,1.34,57.7
2013.41666666667,2013.06,6511,1581,2022,1055,185,152,1516,75.8,79,87.1,100.7,79.5,100.7,1,1,0,1,1,1,0,142,113,65,0,7806,3.05,1.34,58
2013.5,2013.07,6402,1476,2025,1001,165,151,1583,77,79.5,87.2,101.9,80.1,101.9,1,1,0,1,1,1,0,143,114,66,0,7761,3.05,1.33,58.1
2013.58333333333,2013.08,6476,1649,2018,962,162,201,1485,77.1,79.3,86.5,103.6,80,103.6,1,1,0,1,1,1,0,144,115,67,0,7803,3.05,1.34,58.1
2013.66666666667,2013.09,6232,1448,2016,1073,170,174,1352,77.6,79.9,87.7,104.3,80.4,104.3,1,1,0,1,1,1,0,145,116,68,0,7826,3.05,1.34,57.9
2013.75,2013.1,6564,1489,2162,1157,169,193,1394,78,80,88.1,104.3,80.7,104.3,1,1,0,1,1,1,0,146,117,69,0,7783,3.05,1.34,58
2013.83333333333,2013.11,6709,1519,2164,1178,151,205,1493,78.6,79.8,88,104.8,81,104.8,1,1,0,1,1,1,0,147,118,70,0,7764,3.04,1.34,58
2013.91666666667,2013.12,9026,2655,2391,1496,149,269,2067,79.4,80.1,89.4,104,81.8,104,1,1,0,1,1,1,0,148,119,71,0,7818,3.05,1.35,57.9
2014,2014.01,6624,1649,2208,1184,164,196,1222,80.3,81.2,90.6,104.5,82.6,104.5,1,1,0,1,1,1,0,149,120,72,0,7729,3.04,1.35,57.9
2014.08333333333,2014.02,6291,1391,2200,1138,168,181,1213,80,80.6,91.1,104,82.6,104,1,1,0,1,1,1,0,150,121,73,0,7746,3.04,1.33,58
2014.16666666667,2014.03,6829,1602,2268,1213,182,171,1394,81,81,92,104.6,83.5,104.6,1,1,0,1,1,1,0,151,122,74,0,7810,3.04,1.32,58.2
2014.25,2014.04,6605,1545,2189,1130,187,155,1398,83.2,83.5,94.7,107.2,85.9,107.2,1,1,1,1,1,1,0,152,123,75,0,7733,3.04,1.33,58.3
2014.33333333333,2014.05,7085,1813,2230,1162,186,174,1521,83.1,85.1,95.5,107.4,86.7,107.4,1,1,1,1,1,1,0,153,124,76,0,7770,3.04,1.32,58.3
2014.41666666667,2014.06,6945,1668,2246,1139,195,155,1543,83.3,86.2,95.4,107.4,87.5,107.4,1,1,1,1,1,1,0,154,125,77,0,7791,3.03,1.31,58.2
2014.5,2014.07,6879,1623,2211,1104,199,143,1599,83,87.4,95.3,107.9,87.9,107.9,1,1,1,1,1,1,1,155,126,78,1,7720,3.03,1.31,58.1
2014.58333333333,2014.08,7223,1910,2299,1115,201,184,1514,84,88,95.6,107.8,88.7,107.8,1,1,1,1,1,1,1,156,127,79,2,7789,3.03,1.31,58.2
2014.66666666667,2014.09,6768,1583,2219,1199,197,173,1396,84.4,88.3,95.4,108.5,88.9,108.5,1,1,1,1,1,1,1,157,128,80,3,7788,3.03,1.3,58.3
2014.75,2014.1,7235,1675,2428,1248,200,191,1492,83.7,88,95.3,108.2,88.9,108.2,1,1,1,1,1,1,1,158,129,81,4,7775,3.03,1.29,58.5
2014.83333333333,2014.11,7434,1648,2459,1277,195,214,1640,84.5,88.5,96.7,108,89.6,108,1,1,1,1,1,1,1,159,130,82,5,7823,3.03,1.3,58.6
2014.91666666667,2014.12,10011,3013,2665,1618,182,317,2216,84.4,88.4,97.4,107.7,89.8,107.7,1,1,1,1,1,1,1,160,131,83,6,7810,3.03,1.31,58.7
2015,2015.01,7085,1771,2420,1239,184,207,1264,85.6,90.3,97.8,108.2,90.6,108.2,1,1,1,1,1,1,1,161,132,84,7,7761,3.02,1.32,58.6
2015.08333333333,2015.02,6776,1486,2382,1232,194,193,1290,85.3,90.9,97.7,108.3,90.8,108.3,1,1,1,1,1,1,1,162,133,85,8,7779,3.03,1.33,58.8
2015.16666666667,2015.03,7187,1612,2490,1283,196,188,1417,86.4,91.2,97.8,108.6,91.2,108.6,1,1,1,1,1,1,1,163,134,86,9,7763,3.02,1.34,58.7
2015.25,2015.04,7237,1628,2460,1296,207,178,1468,87.7,90.9,98.3,109,91.6,109,1,1,1,1,1,1,1,164,135,87,10,7778,3.02,1.36,58.6
2015.33333333333,2015.05,7444,1790,2444,1239,207,195,1569,86.9,91.5,98.3,109.2,91.5,109.2,1,1,1,1,1,1,1,165,136,88,11,7786,3.02,1.35,58.7
2015.41666666667,2015.06,7127,1544,2454,1214,215,165,1536,87.4,91.9,98.5,109,91.9,109,1,1,1,1,1,1,1,166,137,89,12,7768,3.02,1.36,58.8
2015.5,2015.07,7187,1634,2376,1143,205,157,1672,87.7,91.9,97.4,108.8,91.9,108.8,1,1,1,1,1,1,1,167,138,90,13,7731,3.02,1.36,59
2015.58333333333,2015.08,7444,1824,2436,1128,198,204,1653,87.8,92.2,96.9,108.1,92,108.1,1,1,1,1,1,1,1,168,139,91,14,7795,3.01,1.36,58.9
2015.66666666667,2015.09,7036,1590,2387,1228,215,185,1432,88.5,92,97.6,108.6,92.6,108.6,1,1,1,1,1,1,1,169,140,92,15,7803,3.01,1.35,58.9
2015.75,2015.1,7385,1660,2572,1298,210,220,1424,88.4,92.3,98.7,108.2,92.8,108.2,1,1,1,1,1,1,1,170,141,93,16,7795,3.01,1.35,59.1
2015.83333333333,2015.11,7485,1667,2586,1330,212,224,1466,89.2,92.3,98.7,108.1,93.1,108.1,1,1,1,1,1,1,1,171,142,94,17,7749,3.01,1.35,59
2015.91666666667,2015.12,9974,2919,2706,1677,187,308,2177,90.4,92.4,98.7,107.9,93.6,107.9,1,1,1,1,1,1,1,172,143,95,18,7751,3.01,1.35,59.1
2016,2016.01,7469,1843,2575,1336,199,236,1280,91.1,92.2,98.8,107.8,93.8,107.8,1,1,1,1,1,1,1,173,144,96,19,7762,3,1.36,58.9
2016.08333333333,2016.02,7145,1650,2492,1292,205,217,1290,90.7,91.7,99.3,108.1,93.7,108.1,1,1,1,1,1,1,1,174,145,97,20,7759,3,1.36,59.1
2016.16666666667,2016.03,7313,1737,2474,1302,218,188,1393,91.3,92,98.2,108.3,93.8,108.3,1,1,1,1,1,1,1,175,146,98,21,7724,3,1.35,59.1
2016.25,2016.04,7178,1733,2404,1226,216,183,1417,91.3,91,98.1,108.3,93.5,108.3,1,1,1,1,1,1,1,176,147,99,22,7703,3,1.36,59.1
2016.33333333333,2016.05,7472,1839,2425,1253,220,192,1543,91.4,91.1,97.9,107.5,93.6,107.5,1,1,1,1,1,1,1,177,148,100,23,7735,2.99,1.35,59.2
2016.41666666667,2016.06,6993,1648,2317,1154,212,152,1510,92.2,91.7,98.3,107.4,94,107.4,1,1,1,1,1,1,1,178,149,101,24,7709,2.99,1.36,59.2
2016.5,2016.07,7303,1732,2341,1123,207,170,1730,92.2,92.2,98.1,107.3,94.3,107.3,1,1,1,1,1,1,1,179,150,102,25,7656,2.99,1.35,59.3
2016.58333333333,2016.08,7378,1880,2385,1114,211,224,1563,93.1,92.5,97.2,107,94.2,107,1,1,1,1,1,1,1,180,151,103,26,7657,2.99,1.33,59.3
2016.66666666667,2016.09,6801,1529,2331,1189,207,177,1368,93.6,92.3,97.7,107.1,94.4,107.1,1,1,1,1,1,1,1,181,152,104,27,7697,2.99,1.32,59.3
2016.75,2016.1,7264,1628,2529,1303,203,214,1387,93.3,91.4,98.2,106.6,94.2,106.6,1,1,1,1,1,1,1,182,153,105,28,7708,2.99,1.32,59.3
2016.83333333333,2016.11,7507,1680,2505,1352,201,206,1563,93.5,91.9,97.7,106.6,94.5,106.6,1,1,1,1,1,1,1,183,154,106,29,7699,2.98,1.32,59.3
2016.91666666667,2016.12,9717,2938,2688,1646,188,298,1961,94.4,91.8,98.3,105.9,94.6,105.9,1,1,1,1,1,1,1,184,155,107,30,7720,2.98,1.31,59.5
2017,2017.01,7280,1759,2547,1325,192,222,1234,94.7,91.8,98.9,105.9,95,105.9,1,1,1,1,1,1,1,185,156,108,31,7673,2.98,1.31,59.4
2017.08333333333,2017.02,6720,1459,2403,1246,193,207,1212,95,92.2,99,105.8,95.4,105.8,1,1,1,1,1,1,1,186,157,109,32,7714,2.98,1.32,59.5
2017.16666666667,2017.03,7242,1645,2497,1307,219,197,1376,95.8,92.3,99.1,105.9,95.6,105.9,1,1,1,1,1,1,1,187,158,110,33,7689,2.98,1.32,59.6
2017.25,2017.04,7140,1665,2414,1268,221,175,1397,95.6,92.5,99.6,105.2,95.6,105.2,1,1,1,1,1,1,1,188,159,111,34,7719,2.97,1.32,59.6
2017.33333333333,2017.05,7436,1793,2436,1287,225,178,1516,96.5,92.7,99.8,104.6,96.2,104.6,1,1,1,1,1,1,1,189,160,112,35,7735,2.98,1.32,59.4
2017.41666666667,2017.06,7179,1665,2378,1232,235,161,1507,96.4,92.4,99.6,104.6,95.9,104.6,1,1,1,1,1,1,1,190,161,113,36,7706,2.98,1.32,59.5
2017.5,2017.07,7323,1694,2412,1184,231,172,1629,96.2,93.8,99.8,104.8,96.2,104.8,1,1,1,1,1,1,1,191,162,114,37,7710,2.98,1.3,59.6
2017.58333333333,2017.08,7611,1972,2419,1180,227,217,1596,95.8,94.2,99.9,104.4,96.6,104.4,1,1,1,1,1,1,1,192,163,115,38,7738,2.98,1.32,59.6
2017.66666666667,2017.09,7214,1655,2457,1269,221,210,1401,96.6,94.6,100.4,104.4,97,104.4,1,1,1,1,1,1,1,193,164,116,39,7729,2.98,1.32,59.5
2017.75,2017.1,7777,1801,2680,1403,220,233,1440,95.8,95,100.6,104.2,96.8,104.2,1,1,1,1,1,1,1,194,165,117,40,7737,2.98,1.33,59.7
2017.83333333333,2017.11,7719,1745,2614,1387,203,241,1529,96.3,95.9,99.4,104.3,97,104.3,1,1,1,1,1,1,1,195,166,118,41,7678,2.98,1.34,59.8
2017.91666666667,2017.12,10154,3107,2771,1728,196,299,2053,96.3,96.2,100.7,103.3,97.3,103.3,1,1,1,1,1,1,1,196,167,119,42,7671,2.98,1.34,59.7
2018,2018.01,7454,1756,2626,1389,196,231,1256,97.2,95.7,101,103.3,97.6,103.3,1,1,1,1,1,1,1,197,168,120,43,7596,2.98,1.34,59.6
2018.08333333333,2018.02,7013,1584,2488,1306,198,212,1223,95.6,95.8,101.1,103.5,97.1,103.5,1,1,1,1,1,1,1,198,169,121,44,7654,2.97,1.34,59.5
2018.16666666667,2018.03,7370,1726,2521,1320,209,203,1391,95.7,94.8,100.6,103.2,97,103.2,1,1,1,1,1,1,1,199,170,122,45,7656,2.97,1.34,59.2
2018.25,2018.04,7318,1719,2492,1281,209,196,1420,95.9,94,100.7,103,96.7,103,1,1,1,1,1,1,1,200,171,123,46,7662,2.97,1.36,59.2
2018.33333333333,2018.05,7522,1749,2565,1316,227,197,1467,95.5,94.5,99.9,102.5,96.8,102.5,1,1,1,1,1,1,1,201,172,124,47,7648,2.97,1.35,59.3
2018.41666666667,2018.06,7303,1692,2495,1231,227,186,1474,95,94.7,99.5,102.2,96.5,102.2,1,1,1,1,1,1,1,202,173,125,48,7649,2.97,1.36,59.3
2018.5,2018.07,7310,1676,2483,1194,216,191,1551,96,95.5,99,102,97,102,1,1,1,1,1,1,1,203,174,126,49,7648,2.98,1.36,59.2
2018.58333333333,2018.08,7414,1874,2428,1163,207,231,1510,96.8,96.2,98.6,101.5,97.4,101.5,1,1,1,1,1,1,1,204,175,127,50,7671,2.98,1.36,59.3
2018.66666666667,2018.09,7352,1665,2546,1302,239,208,1390,96.7,96.2,100.1,101.9,97.9,101.9,1,1,1,1,1,1,1,205,176,128,51,7617,2.97,1.35,59.4
2018.75,2018.1,7568,1735,2605,1371,224,229,1405,96.5,96.6,99.9,101.4,97.9,101.4,1,1,1,1,1,1,1,206,177,129,52,7620,2.98,1.35,59.4
2018.83333333333,2018.11,7507,1698,2584,1339,212,218,1457,96.5,96.6,99.9,101.5,97.7,101.5,1,1,1,1,1,1,1,207,178,130,53,7600,2.98,1.35,59.2
2018.91666666667,2018.12,9819,2997,2758,1665,202,308,1888,96.8,96.6,100,101.7,97.8,101.7,1,1,1,1,1,1,1,208,179,131,54,7639,2.98,1.34,59.1
2019,2019.01,7422,1810,2592,1348,209,221,1241,97.9,96.5,100.7,101.8,98.3,101.8,1,1,1,1,1,1,1,209,180,132,55,7555,2.98,1.34,59.2
2019.08333333333,2019.02,6888,1515,2425,1298,208,209,1233,97.3,96.4,100.5,101.4,98.1,101.4,1,1,1,1,1,1,1,210,181,133,56,7572,2.98,1.33,59.2
2019.16666666667,2019.03,7364,1671,2538,1332,227,195,1401,98.1,96.5,100.2,101.1,98.4,101.1,1,1,1,1,1,1,1,211,182,134,57,7581,2.97,1.33,59.2
2019.25,2019.04,7149,1682,2394,1271,215,182,1405,97.9,96.5,99.3,101.2,98.3,101.2,1,1,1,1,1,1,1,212,183,135,58,7541,2.97,1.33,59.4
2019.33333333333,2019.05,7375,1777,2393,1296,225,191,1493,97.8,97,98.7,101,98.2,101,1,1,1,1,1,1,1,213,184,136,59,7548,2.97,1.34,59.5
2019.41666666667,2019.06,7212,1625,2408,1268,224,175,1513,97.6,96.9,99.1,101.4,98.4,101.4,1,1,1,1,1,1,1,214,185,137,60,7553,2.97,1.35,59.6
2019.5,2019.07,7029,1518,2358,1185,229,162,1578,97.7,97.3,99.7,101.3,98.7,101.3,1,1,1,1,1,1,1,215,186,138,61,7501,2.96,1.35,59.6
2019.58333333333,2019.08,7343,1853,2335,1121,212,239,1583,98.2,97.6,99.6,101,99,101,1,1,1,1,1,1,1,216,187,139,62,7479,2.96,1.35,59.6
2019.66666666667,2019.09,7126,1560,2438,1242,236,199,1451,97.1,97.4,99.3,101,98.6,101,1,1,1,1,1,1,1,217,188,140,63,7517,2.96,1.35,59.5
2019.75,2019.1,7282,1522,2555,1312,223,215,1454,97.7,97.4,98.5,100.9,98.8,100.9,1,1,1,1,1,1,1,218,189,141,64,7470,2.96,1.35,59.3
2019.83333333333,2019.11,7436,1649,2516,1309,208,234,1521,98.9,97.6,100,100.8,99.3,100.8,1,1,1,1,1,1,1,219,190,142,65,7466,2.96,1.34,59.3
2019.91666666667,2019.12,9737,2996,2685,1605,196,298,1957,99.7,97,99,100.1,99,100.1,1,1,1,1,1,1,1,220,191,143,66,7481,2.96,1.34,59.4
2020,2020.01,7162,1704,2469,1309,211,220,1250,100,99.1,100.8,100.5,99.9,100.5,1,1,1,1,1,1,1,221,192,144,67,7443,2.96,1.34,59.3
2020.08333333333,2020.02,7261,1664,2545,1310,222,211,1309,100.3,98.4,99.3,100.1,99.3,100.1,1,1,1,1,1,1,1,222,193,145,68,7475,2.96,1.33,59.3
2020.16666666667,2020.03,8155,1848,2820,1451,262,231,1544,99.4,98.5,98.9,100.4,99.2,100.4,1,1,1,1,1,1,1,223,194,146,69,7489,2.96,1.32,59.5
2020.25,2020.04,8610,1976,2907,1574,300,245,1609,99.2,98.4,99.2,100.2,99.2,100.2,1,1,1,1,1,1,1,224,195,147,70,7534,2.96,1.33,59.5
2020.33333333333,2020.05,9115,2268,2942,1578,312,304,1710,100.5,99.6,99.8,100.4,99.8,100.4,1,1,1,1,1,1,1,225,196,148,71,7430,2.96,1.33,59.6
2020.41666666667,2020.06,8009,1811,2678,1408,271,227,1613,100.5,100.4,99.7,100.3,100.2,100.3,1,1,1,1,1,1,1,226,197,149,72,7489,2.95,1.33,59.8
2020.5,2020.07,8003,1797,2671,1364,270,210,1691,100.8,100.6,99.9,100.2,101,100.2,1,1,1,1,1,1,1,227,198,150,73,7521,2.95,1.33,59.9
2020.58333333333,2020.08,8406,2113,2710,1348,270,292,1673,99.4,100.7,98.7,99.6,99.9,99.6,1,1,1,1,1,1,1,228,199,151,74,7557,2.95,1.34,59.9
2020.66666666667,2020.09,7735,1801,2605,1327,255,231,1517,99.4,100.9,99.8,99.9,99.8,99.9,1,1,1,1,1,1,1,229,200,152,75,7535,2.95,1.34,59.9
2020.75,2020.1,7960,1771,2751,1424,250,250,1513,100.3,101.2,101,99.5,100.5,99.5,1,1,1,1,1,1,1,230,201,153,76,7532,2.94,1.35,59.9
2020.83333333333,2020.11,8146,1836,2746,1425,229,271,1640,100,101.3,101.2,99.5,100.5,99.5,1,1,1,1,1,1,1,231,202,154,77,7506,2.94,1.35,60.1
2020.91666666667,2020.12,10510,3088,3017,1763,228,356,2058,100.3,100.8,102,99.3,100.6,99.3,1,1,1,1,1,1,1,232,203,155,78,7540,2.95,1.35,60.1
2021,2021.01,8097,1920,2817,1469,240,271,1379,100.6,101.3,103.5,99.5,101.1,99.5,1,1,1,1,1,1,1,233,204,156,79,7485,2.94,1.35,60.3
2021.08333333333,2021.02,7456,1670,2594,1359,233,255,1344,100.6,101.1,103.2,99.6,100.8,99.6,1,1,1,1,1,1,1,234,205,157,80,7485,2.94,1.34,60.3
2021.16666666667,2021.03,7856,1845,2641,1406,258,219,1487,100.3,101.3,102.4,99.5,100.7,99.5,1,1,1,1,1,1,1,235,206,158,81,7425,2.94,1.34,60.4
2021.25,2021.04,7732,1759,2594,1384,248,230,1517,100,100.6,102.2,99.4,100.4,99.4,1,1,1,1,1,1,1,236,207,159,82,7459,2.93,1.34,60
2021.33333333333,2021.05,8386,2096,2701,1426,267,291,1605,99,100.4,101.9,99.2,100.1,99.2,1,1,1,1,1,1,1,237,208,160,83,7459,2.93,1.34,60
2021.41666666667,2021.06,7670,1765,2506,1328,263,242,1566,100.7,100.9,101.6,99.7,100.6,99.7,1,1,1,1,1,1,1,238,209,161,84,7401,2.93,1.34,60.1
2021.5,2021.07,7722,1813,2527,1265,257,236,1625,100.2,100.7,102.4,99.4,100.9,99.4,1,1,1,1,1,1,1,239,210,162,85,7370,2.93,1.32,60.1
2021.58333333333,2021.08,8381,2113,2705,1341,271,312,1639,101.4,101.2,100.6,99.4,101.2,99.4,1,1,1,1,1,1,1,240,211,163,86,7397,2.93,1.33,60.1
